0,0,0,-2,-2
0.002,0,0,-2,-2
0.004,0,0,-2,-2
0.006,-1.3649,-0.045498,-2,-2
0.008,-2.648,-0.090996,-2,-2
0.01,-4.5365,-0.15924,-2,-2
0.012,-6.9942,-0.25024,-2,-2
0.014,-8.622,-0.31849,-2,-2
0.016,-10.835,-0.40948,-2,-2
0.018,-12.914,-0.50048,-2,-2
0.02,-14.187,-0.56872,-2,-2
0.022,-15.383,-0.63697,-2,-2
0.024,-17.19,-0.72797,-2,-2
0.026,-18.888,-0.81896,-2,-2
0.028,-20.485,-0.90996,-2,-2
0.03,-21.986,-1.001,-2,-2
0.032,-24.761,-1.1374,-2,-2
0.034,-26.688,-1.2512,-2,-2
0.036,-29.864,-1.4104,-2,-2
0.038,-30.802,-1.5014,-2,-2
0.04,-33.731,-1.6607,-2,-2
0.042,-36.485,-1.8199,-2,-2
0.044,-39.755,-2.0019,-2,-2
0.046,-42.83,-2.1839,-2,-2
0.048,-45.72,-2.3659,-2,-2
0.05,-49.119,-2.5706,-2,-2
0.052,-51.631,-2.7526,-2,-2
0.054,-54.676,-2.9574,-2,-2
0.056,-57.538,-3.1621,-2,-2
0.058,-60.227,-3.3669,-2,-2
0.06,-63.439,-3.5943,-2,-2
0.062,-66.457,-3.8218,-2,-2
0.064,-69.294,-4.0493,-2,-2
0.066,-71.961,-4.2768,-2,-2
0.068,-75.151,-4.5271,-2,-2
0.07,-78.149,-4.7773,-2,-2
0.072,-80.967,-5.0275,-2,-2
0.074,-84.299,-5.3005,-2,-2
0.076,-83.336,-5.437,-2,-2
0.078,-90.62,-5.8465,-2,-2
0.08,-93.372,-6.1195,-2,-2
0.082,-91.865,-6.256,-2,-2
0.084,-94.543,-6.529,-2,-2
0.086,-97.742,-6.8247,-2,-2
0.088,-100.75,-7.1204,-2,-2
0.09,-103.58,-7.4162,-2,-2
0.092,-106.23,-7.7119,-2,-2
0.094,-109.41,-8.0304,-2,-2
0.096,-111.72,-8.3261,-2,-2
0.098,-114.57,-8.6446,-2,-2
0.1,-117.25,-8.9631,-2,-2
0.102,-120.46,-9.3043,-2,-2
0.104,-122.78,-9.6228,-2,-2
0.106,-125.65,-9.9641,-2,-2
0.108,-127.67,-10.283,-2,-2
0.11,-130.25,-10.624,-2,-2
0.112,-132.67,-10.965,-2,-2
0.114,-134.94,-11.306,-2,-2
0.116,-137.77,-11.67,-2,-2
0.118,-134.96,-11.852,-2,-2
0.12,-143.24,-12.398,-2,-2
0.122,-145.57,-12.762,-2,-2
0.124,-142.29,-12.944,-2,-2
